Article Title,Author(s),Publication Year,Journal,URL,Data Collected,Data Collected (AAT),Art Historical and/or Cultural Object of Study,Discipline/Concept (AAT),Affiliated Country,Funding Source,Data Deposited?,Data Repository,DOI/URL of Deposited Data,Data Availability Statement,Data Paper Cited?,DOI of Data Paper
"Conservation of Severely Deteriorated, Dry Painted Wood: A Case Study From Abydos, Egypt","Ahmed Abdel-Azeem (http://orcid.org/0000-0003-2897-3966), Robert A Blanchette (http://orcid.org/0000-0003-2819-6511), Claudia G Chemello, Suzanne L Davis (http://orcid.org/0000-0001-6667-2203), Pamela B Hatchfield, Janet Richards, Hamada Sadek (http://orcid.org/0000-0002-2890-2992), Gregory D Smith",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1951551,"wood fragments; categorical data; microscopic anatomical structures (wood identification); fungi cultures; paint sample; (identification) preparation layer, pigment, binding media; Analysis of elemental compositions; Mid-infrared spectra; wet chemical tests; cellulose ether tests; experimental data",Wood; Colorant; Elemental Analysis; Chemical Analysis,Egyptian wood statues,Cultural Artifact; Decorative Art,Egypt; United States,American Research Center in Egypt.,in paper,none,none,none,none,
Preventive Conservation Dilemmas for Artworks Exhibiting Soft and Dripping Paint - The Impact of Changes in Relative Humidity on Soft oil Paint in Paintings by Karel Appel and Asger Jorn,"Ida Antonia Tank Bronken, Naoki Fujisawa (https://orcid.org/0000-0003-3460-6986), Michał Łukomski (https://orcid.org/0000-0001-7942-9026)",2025,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2025.2531308,paint samples; quantitative; moisture sorption isotherms measurements;  nanoindentation measurements,Measurements,oil paint samples from works of Asger Jorn and Karel Appel,Fine Art,Norway; United States,none listed,in paper,none,none,none,"Fujisawa, N., Bronken, I. A. T., Freeman, A. A., & Łukomski, M. (2023). Nanoindentation of softening modern oil paints. International Journal of Solids and Structures, 262–263, Article 112009.",https://doi.org/10.1016/j.ijsolstr.2022.112009
Integration of Laboratory and Field Measurements on Soil and Bronze Artifacts: Facilitating Conservation Treatment and Management of Archaeological Collections,"Alice Boccia Paterakis (https://orcid.org/0000-0002-9103-8500), Ian Donald MacLeod",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2143165,"chloride ion, pH, and voltage (redox potential) measurements ",Measurements,soil and copper alloy artifacts from archaeological sites Kaman-Kalehöyük (Kırşehir) and Büklükale (Kirikkale),Cultural Artifact,Japan; Turkey; Australia,none listed,in paper,none,none,none,none,
Adaptation of a Standard Industrial Peel Test for Testing Consolidants in the Conservation Studio,"Noa Kollaard, W Bill Wei",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2130982,"video recordings, observational data",Observations,NA,NA,Netherlands,none listed,in paper; upon request,none,none,none,none,
Legal and Ethical Considerations in the Conservation of Artwork Produced During Art Therapy,"Laura McCann (https://orcid.org/0000-0001-7821-3127), Jessica Pace (https://orcid.org/0000-0003-2047-146X), Katherine Parks (https://orcid.org/0000-0001-5371-4371), Chantal Stein (https://orcid.org/0000-0002-1091-4039), Andy Wolf (https://orcid.org/0000-0002-1475-2356)",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1927654,paintings & drawings; infrared reflectance (IR) and ultraviolet-induced luminescence (UVL) imaging; Fourier-transform infrared spectroscopy (FTIR); micro chemical testing,Fourier Transform Infrared Spectroscopy (FTIR); Chemical Analysis,"Wiltwyck artworks in the Kramer papers, New York University Archives",Art Therapy,United States,none listed,in paper,none,none,none,none,
Observations from the Analysis of the Gelatin Silver Emulsion Layer of Glass Photographic Inter-Positive Plates from Eadweard Muybridge's Animal Locomotion Series at the National Museum of American History,"Shannon Brogdon-Grantham (https://orcid.org/0000-0002-0453-1306), Miriam E Hiebert (https://orcid.org/0000-0001-5773-3713), Thomas Lam (https://orcid.org/0000-0002-0908-0938), Sarah Oakman",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1983710,Optical microscopy images; Backscattered electron (BSE) and secondary electron (SE) images; SEM electron dispersive spectroscopy (EDS); elemental maps of the gelatin surfaces; molecular vibrational spectra from the gelatin layers;  ,Optical Microscopy; Electron Microscopy,"Animal Locomotion Series by Eadweard Muybridge; The Photographic History Collection, Smithsonian’s National Museum of American History",Cultural Artifact,United States,Smithsonian Institution ,in paper,none,none,none,none,
"A Comparison of Materials for Dry Surface Cleaning Soot-Coated Papers of Varying Roughness: Assessing Efficacy, Physical Surface Changes, and Residue","Shannon A Brogdon-Grantham (https://orcid.org/0000-0002-0453-1306), Teresa T Duncan, Thomas Lam (https://orcid.org/0000-0002-0908-0938), Edward P Vicenzi (https://orcid.org/0000-0003-2085-6546)",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2148903,Static load tests on cleaning materials; CIELAB color measurements of the substrates before and after each cleaning method; Surface roughness measurements; Near ultraviolet (NUV) images; Attenuated total reflection Fourier-transform infrared (ATR-FTIR) spectroscopy  ,Measurements; Fourier Transform Infrared Spectroscopy (FTIR),NA,NA,United States,Smithsonian Institution ,in paper,none,none,none,none,
Preserving the Legacy of an Artist and Conservator: Technical Study of Paintings by Felrath Hines in the Collection of the National Museum of African American History and Culture,"Thomas Lam, Christopher A Maines, Christine Romano, Jia-Sun Tsang",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2019.1707416,survey observations; X-ray fluorescence (XRF) spectrometry; attenuated total reflection Fourier transform infrared spectroscopy (ATR-FTIR); pyrolysis gas chromatography mass spectrometry (py-GCMS); optical microscopy;  scanning electron microscopy with energy dispersive X-ray spectrometry (SEM-EDS); paint samples,Observations; Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Fourier Transform Infrared Spectroscopy (FTIR); Optical Microscopy; Electron Microscopy,Felrath Hines works and studio notes ,Fine Art,United States,Charlotte Sanford Mason; Holly Mason; Dorothy Fisher; Felrath Hines Artist Estate,in paper,none,none,none,none,
Touch Decisions: For Heritage Objects,"Jane Henderson (https://orcid.org/0000-0003-3027-8452), Ashley Lingle (https://orcid.org/0000-0002-0825-9426)",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2023.2175983,no data collected,,NA,NA,United Kingdom,none listed,no,none,none,none,none,
The Evolution of Salted Paper Printing During the 1850s: Published Recipes,John McElhone,2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1729613,"Various texts, lists and spreadsheets were constructed to analyze and capture relevant data; bibliography",,"historical print materials, 19th century ",Cultural Artifact,Canada,none listed,no,none,none,none,none,
Computational Watermark Enhancement in Leonardo's Codex Leicester,"Margaret Holben Ellis, C Richard Jr Johnson, William A Sethares (https://orcid.org/0000-0002-0318-7638)",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2019.1703483,"diffuse specular light photographs, transmitted light photographs; computations ",Photography,"Codex Leicester by Leonardo da Vinci, circa 1508–1510; Bill Gates Collection",Cultural Artifact,United States,Getty Foundation; National Science Foundation,no,none,none,none,none,
Tricks of the Shade: Preservation of Chemically Developed Shading Papers Based on DuoShade Samples,"Gwenanne Edwards (https://orcid.org/0000-0003-1662-1816), Colette Hardman-Peavy, Adrienne Lundgren, Marcie B Wiggins",2024,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2023.2293529,elemetal testing via macro-X-ray fluorescence spectroscopy (MA-XRF); spectra via Point X-ray fluorescence spectroscopy (XRF); Raman spectroscopy; color measurements; Microfadeometry; ,Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Measurements,"Grafix DuoShade papers, 1990s",NA,United States,none listed,in paper,none,none,none,"Grafix. 1991. “DuoShade Drawing System.” Material Safety Data Sheets (MSDS) issued July 1, 1991.",
Conserving Animation Cels: Reattaching Loose Paint Without Adhesive,"Carolyn Carta, Katharina Hoeyng, Art Kaplan, Tom Learner, Joy Mazurek, Kristen McCormick, Michael Schilling",2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2185725,experimental data; solubility test; RH drying test; written documentation and with macroscopic images; videos,,animation cels from Walt Disney Company; Jungle Book; Aristocats,Commercial Art,United States,none listed,in paper; SI,none,none,none,none,
Evaluation of the Solubility and Colour Changes of Artificially and Naturally Aged Adhesives for the Conservation of Ceramics and Glass,"Elena Agnini, Alexandra Bridarolli (https://orcid.org/0000-0002-0114-751X), Estefanía Calparsoro-Forcada (https://orcid.org/0000-0002-2252-4513), Emmanuelle Casanova (https://orcid.org/0000-0003-1417-3060), Elena Gómez-Sánchez (https://orcid.org/0000-0003-2648-8510), Carole Harrivelle, Simon Kunz, Raphaëlle Rolland, Stefan Röhrs (https://orcid.org/0000-0002-8713-3572), Stefan Simon",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1995262,experimental data; solubility test; reversability test; colour measurements; ATR-FTIR analysis; infared spectra,Measurements; Fourier Transform Infrared Spectroscopy (FTIR),"Fatti come nuovi exhibition, 20 October 1985–12 January 1986; Poldi Pezzoli Museum collection",Fine Art,Germany; United States; France,none listed,in paper,none,none,none,none,
Implementing an Adaptive Climate Control Strategy: Collection Monitoring and Sustainability Outcomes,"Vincent Laudato Beltran, Caitlin Breare, Alexandra Bridarolli, Youkyoung Kim, MaryJo Lelyveld, Michael Varcoe-Cocks, Cecilia Winter, Michał Łukomski",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2380610,Acoustic Emissions (AE) data; environmental monitoriing data; HVAC system data; AHU energy usage; AHU mechanical activity; pencil lead break (PLB) test;,,NA,NA,Australia; Unites States,none listed,no,none,none,none,none,
Collaborating with a Source Community to Conserve two Sámi Coffee Bags by Combining Established Conservation Treatments and Traditional Preservation Methods,Kuukua Anna Buduson,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2051959,light microscopy; Fourier transform infrared (FTIR) spectroscopy; focus group interview;,Optical Microscopy; Fourier Transform Infrared Spectroscopy (FTIR); Interviews,"two coffee bags (gáfeseahkkat in Sámi); Guovdageainnu Gilišillju / Kautokeino bygdetun, RiddoDuottar Museat collection",Cultural Artifact,Norway,none listed,no,none,none,none,none,
Are Nature-based Solutions for Built Heritage Conservation Resilient to Climate Change? The Response of Grass-based Soft Caps in Britain and Ireland to Future Climate Scenarios,"Elizabeth L Cooke, Martin Coombes (https://orcid.org/0000-0002-7915-2968), Johanna Jones, Jenny Richards (https://orcid.org/0000-0003-4061-240X), Heather Viles (https://orcid.org/0000-0002-2444-1295)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2406154,stastical data; climate models; AUC values,,"Festuca rubra (red fescue), Poa pratensis (smooth meadow-grass), Catapodium rigidum (fern-grass) and Poa annua (annual meadow-grass); indigenous grasses",Landscape,United Kingdom,none listed,repository; SI,Global Biodiversity Information Facility (GBIF); WorldClim,none,yes,"Fick, S. E., and R. J. Hijmans. 2017. “WorldClim 2: New 1-km Spatial Resolution Climate Surfaces for Global Land Areas.” International Journal of Climatology 37 (12): 4302–4315.;",https://doi.org/10.1002/joc.5086
Indigenous Stewardship of Decolonised Rock Art Conservation Processes in Australia,"Robin Dann, Melissa Marshall (https://orcid.org/0000-0002-3431-9007), Kadeem May, Lloyd Nulgit",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1778264,no data collected,,NA,NA,Australia,Australian National University in Canberra,no,none,none,none,none,
Hyperspectral Imaging Analyses of Cleaning Tests on Edvard Munch's Monumental Aula Paintings,"Agnese Babini, Jan Dariusz Cutajar (https://orcid.org/0000-0002-1190-1248), Hilda Deborah (https://orcid.org/0000-0003-3779-2569), Tine Frøysaker (https://orcid.org/0000-0002-9373-0082), Jon Yngve Hardeberg (https://orcid.org/0000-0003-1150-2498), Edith Joseph (https://orcid.org/0000-0001-6967-8141)",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2054617,hyperspectral imaging data,,Edvard Munch oil paintings; University of Oslo Aula collection,Fine Art,Norway; Switzerland,Horizon 2020 Research and Innovation Program; H2020 Marie Skłodowska Curie Grant,no,none,none,none,none,
Conservation and Technical Evaluation of an Early Medieval Papyrus Codex,"Solène Girard, Grzegorz Nehring, Ira Rabin",2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2183554,photography in transmitted light; measurements of the thickness of the papyrus leaves; digital microscopy under three-light illumination; damage observations,Photography; Measurements; Observations,"coptic codices; Canons of Pseudo-Basil, Encomium of St. Pisenthios; Coptic Museum in Cairo",Cultural Artifact,Germany; France,"Polish Centre of Mediterranean Archaeology of the University of Warsaw; Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) ",no,none,none,none,none,
